route_directive	wns	report	dcp	status
Default	0.068	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_place_route_sweep_20260628_191058/timing_Default.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_place_route_sweep_20260628_191058/top_Default.dcp	ok
Explore	0.051	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_place_route_sweep_20260628_191058/timing_Explore.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_place_route_sweep_20260628_191058/top_Explore.dcp	ok
AggressiveExplore	0.051	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_place_route_sweep_20260628_191058/timing_AggressiveExplore.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_place_route_sweep_20260628_191058/top_AggressiveExplore.dcp	ok
NoTimingRelaxation	0.057	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_place_route_sweep_20260628_191058/timing_NoTimingRelaxation.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_place_route_sweep_20260628_191058/top_NoTimingRelaxation.dcp	ok
MoreGlobalIterations	-0.041	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_place_route_sweep_20260628_191058/timing_MoreGlobalIterations.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_place_route_sweep_20260628_191058/top_MoreGlobalIterations.dcp	ok
HigherDelayCost	0.014	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_place_route_sweep_20260628_191058/timing_HigherDelayCost.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_place_route_sweep_20260628_191058/top_HigherDelayCost.dcp	ok
