directive	wns	report	dcp	status
Explore	-0.847	E:/Projects/1Aprojects/RV32Final/timing_backups/place_explore_compare_20260701_211224/timing_Explore.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/place_explore_compare_20260701_211224/top_Explore.dcp	ok
AggressiveExplore	NA	E:/Projects/1Aprojects/RV32Final/timing_backups/place_explore_compare_20260701_211224/timing_AggressiveExplore.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/place_explore_compare_20260701_211224/top_AggressiveExplore.dcp	ERROR: [Common 17-39] 'opt_design' failed due to earlier errors.

