strategy,synth_mode,opt_directive,place_directive,phys_opt_directive,route_directive,post_route_phys_opt,retiming_attempted,run_status,actual_clock_mhz,period_ns,wns,tns,whs,drc_errors,drc_warnings,bitgen,bit_path,bit_sha256,worst_source,worst_destination,data_delay_ns,logic_delay_ns,route_delay_ns,dram_rdata_path_is_worst,unsupported_notes,timing_summary,top20_timing,drc_report,utilization_report
"CLASS2_BTB_NO_TIMINGFIX_330M_EXTRA_TIMING_OPT","default","Explore","ExtraTimingOpt","AggressiveExplore","NoTimingRelaxation","0","0","write_bitstream Complete!","330.000","3.030","-0.149","-6.296","0.085","0","37","1","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_EXTRA_TIMING_OPT/CLASS2_BTB_NO_TIMINGFIX_330M_EXTRA_TIMING_OPT_20260720_130051.bit","BBDC200E17A5C254B5D457F7A1A8014782E1405EBF8B7852BB57730D8947AF90","student_top_inst/Core_cpu/ifid_instr_reg[0]_replica/C","student_top_inst/Core_cpu/fetch_hold_pc_reg[8]/CE","2.880","0.438","2.442","0","","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_EXTRA_TIMING_OPT/timing_summary_CLASS2_BTB_NO_TIMINGFIX_330M_EXTRA_TIMING_OPT_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_EXTRA_TIMING_OPT/timing_top20_CLASS2_BTB_NO_TIMINGFIX_330M_EXTRA_TIMING_OPT_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_EXTRA_TIMING_OPT/drc_CLASS2_BTB_NO_TIMINGFIX_330M_EXTRA_TIMING_OPT_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_EXTRA_TIMING_OPT/utilization_CLASS2_BTB_NO_TIMINGFIX_330M_EXTRA_TIMING_OPT_20260720_130051.rpt"
"CLASS2_BTB_NO_TIMINGFIX_330M_EXPLORE","default","Explore","Explore","Explore","Explore","0","0","write_bitstream Complete!","330.000","3.030","-0.151","-9.924","0.085","0","34","1","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_EXPLORE/CLASS2_BTB_NO_TIMINGFIX_330M_EXPLORE_20260720_130051.bit","4B4BD2C4583B507346A78D07D2C23F776F4024D5D3F3E72D9B2897654D0ACAE2","student_top_inst/Core_cpu/ifid_instr_reg[4]_replica_2/C","student_top_inst/Core_cpu/fetch_hold_instr_reg[20]/CE","2.904","0.438","2.466","0","","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_EXPLORE/timing_summary_CLASS2_BTB_NO_TIMINGFIX_330M_EXPLORE_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_EXPLORE/timing_top20_CLASS2_BTB_NO_TIMINGFIX_330M_EXPLORE_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_EXPLORE/drc_CLASS2_BTB_NO_TIMINGFIX_330M_EXPLORE_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_EXPLORE/utilization_CLASS2_BTB_NO_TIMINGFIX_330M_EXPLORE_20260720_130051.rpt"
"CLASS2_BTB_NO_TIMINGFIX_330M_AGGRESSIVE_EXPLORE","default","Explore","Explore","AggressiveExplore","AggressiveExplore","0","0","write_bitstream Complete!","330.000","3.030","-0.191","-24.830","0.085","0","36","1","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_AGGRESSIVE_EXPLORE/CLASS2_BTB_NO_TIMINGFIX_330M_AGGRESSIVE_EXPLORE_20260720_130051.bit","D9A5081DF4D50EB14A5C68C87ADF78DEED8753A9073675DBFBEDF08B3FE61AB8","student_top_inst/Core_cpu/ifid_instr_reg[21]_replica/C","student_top_inst/Core_cpu/ifid_instr_reg[2]_replica_1/CE","2.944","0.474","2.470","0","","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_AGGRESSIVE_EXPLORE/timing_summary_CLASS2_BTB_NO_TIMINGFIX_330M_AGGRESSIVE_EXPLORE_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_AGGRESSIVE_EXPLORE/timing_top20_CLASS2_BTB_NO_TIMINGFIX_330M_AGGRESSIVE_EXPLORE_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_AGGRESSIVE_EXPLORE/drc_CLASS2_BTB_NO_TIMINGFIX_330M_AGGRESSIVE_EXPLORE_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_AGGRESSIVE_EXPLORE/utilization_CLASS2_BTB_NO_TIMINGFIX_330M_AGGRESSIVE_EXPLORE_20260720_130051.rpt"
"CLASS2_BTB_NO_TIMINGFIX_330M_POSTROUTE_PHYSOPT","default","Explore","ExtraTimingOpt","AggressiveExplore","NoTimingRelaxation","1","0","write_bitstream Complete!","330.000","3.030","-0.149","-6.296","0.085","0","37","1","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_POSTROUTE_PHYSOPT/CLASS2_BTB_NO_TIMINGFIX_330M_POSTROUTE_PHYSOPT_20260720_130051.bit","C8E5E1EAA8CD25690F3B09345605AA0F2141BDE8CEA2C06822CA49B51E7F39D7","student_top_inst/Core_cpu/ifid_instr_reg[0]_replica/C","student_top_inst/Core_cpu/fetch_hold_pc_reg[8]/CE","2.880","0.438","2.442","0","","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_POSTROUTE_PHYSOPT/timing_summary_CLASS2_BTB_NO_TIMINGFIX_330M_POSTROUTE_PHYSOPT_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_POSTROUTE_PHYSOPT/timing_top20_CLASS2_BTB_NO_TIMINGFIX_330M_POSTROUTE_PHYSOPT_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_POSTROUTE_PHYSOPT/drc_CLASS2_BTB_NO_TIMINGFIX_330M_POSTROUTE_PHYSOPT_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_POSTROUTE_PHYSOPT/utilization_CLASS2_BTB_NO_TIMINGFIX_330M_POSTROUTE_PHYSOPT_20260720_130051.rpt"
"CLASS2_BTB_NO_TIMINGFIX_330M_ALT_SPREAD_NOTIMING","default","Explore","SSI_SpreadLogic_high","AggressiveExplore","NoTimingRelaxation","0","0","write_bitstream Complete!","330.000","3.030","-0.097","-1.814","0.090","0","37","1","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_ALT_SPREAD_NOTIMING/CLASS2_BTB_NO_TIMINGFIX_330M_ALT_SPREAD_NOTIMING_20260720_130051.bit","82264DFB5D53091CF4727D2FE022633BC1EFE40656AD5DCFE331B2563B1AE5CB","student_top_inst/Core_cpu/ifid_instr_reg[20]/C","student_top_inst/Core_cpu/if1_pc_q_reg[24]/CE","2.832","0.438","2.394","0","","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_ALT_SPREAD_NOTIMING/timing_summary_CLASS2_BTB_NO_TIMINGFIX_330M_ALT_SPREAD_NOTIMING_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_ALT_SPREAD_NOTIMING/timing_top20_CLASS2_BTB_NO_TIMINGFIX_330M_ALT_SPREAD_NOTIMING_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_ALT_SPREAD_NOTIMING/drc_CLASS2_BTB_NO_TIMINGFIX_330M_ALT_SPREAD_NOTIMING_20260720_130051.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_330m_outputs/CLASS2_BTB_NO_TIMINGFIX_330M_ALT_SPREAD_NOTIMING/utilization_CLASS2_BTB_NO_TIMINGFIX_330M_ALT_SPREAD_NOTIMING_20260720_130051.rpt"
