route_directive	wns	report	dcp	status
Default	-0.068	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_route_sweep_uncertainty_202p25_20260704_223559/timing_Default.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_route_sweep_uncertainty_202p25_20260704_223559/top_Default.dcp	ok
Explore	-0.040	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_route_sweep_uncertainty_202p25_20260704_223559/timing_Explore.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_route_sweep_uncertainty_202p25_20260704_223559/top_Explore.dcp	ok
AggressiveExplore	-0.040	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_route_sweep_uncertainty_202p25_20260704_223559/timing_AggressiveExplore.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_route_sweep_uncertainty_202p25_20260704_223559/top_AggressiveExplore.dcp	ok
NoTimingRelaxation	-0.058	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_route_sweep_uncertainty_202p25_20260704_223559/timing_NoTimingRelaxation.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_route_sweep_uncertainty_202p25_20260704_223559/top_NoTimingRelaxation.dcp	ok
MoreGlobalIterations	-0.062	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_route_sweep_uncertainty_202p25_20260704_223559/timing_MoreGlobalIterations.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_route_sweep_uncertainty_202p25_20260704_223559/top_MoreGlobalIterations.dcp	ok
HigherDelayCost	-0.074	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_route_sweep_uncertainty_202p25_20260704_223559/timing_HigherDelayCost.rpt	E:/Projects/1Aprojects/RV32Final/timing_backups/explore_route_sweep_uncertainty_202p25_20260704_223559/top_HigherDelayCost.dcp	ok
