strategy,synth_mode,opt_directive,place_directive,phys_opt_directive,route_directive,post_route_phys_opt,retiming_attempted,run_status,actual_clock_mhz,period_ns,wns,tns,whs,drc_errors,drc_warnings,bitgen,bit_path,bit_sha256,worst_source,worst_destination,data_delay_ns,logic_delay_ns,route_delay_ns,dram_rdata_path_is_worst,unsupported_notes,timing_summary,top20_timing,drc_report,utilization_report
"CLASS2_BTB_NO_TIMINGFIX_333M_EXTRA_TIMING_OPT","default","Explore","ExtraTimingOpt","AggressiveExplore","NoTimingRelaxation","0","0","write_bitstream Complete!","333.333","3.000","-0.006","-0.006","0.058","0","35","1","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_EXTRA_TIMING_OPT/CLASS2_BTB_NO_TIMINGFIX_333M_EXTRA_TIMING_OPT_20260720_115446.bit","808CA4C533AB41E70DD636DE01A3BD22800856477122284B4CDE1BF2926D748D","student_top_inst/Core_cpu/ex1ex2_alu_op_reg[3]_rep_replica/C","student_top_inst/Core_cpu/ex2mem_alu_y_reg[19]/D","2.790","1.131","1.659","0","","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_EXTRA_TIMING_OPT/timing_summary_CLASS2_BTB_NO_TIMINGFIX_333M_EXTRA_TIMING_OPT_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_EXTRA_TIMING_OPT/timing_top20_CLASS2_BTB_NO_TIMINGFIX_333M_EXTRA_TIMING_OPT_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_EXTRA_TIMING_OPT/drc_CLASS2_BTB_NO_TIMINGFIX_333M_EXTRA_TIMING_OPT_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_EXTRA_TIMING_OPT/utilization_CLASS2_BTB_NO_TIMINGFIX_333M_EXTRA_TIMING_OPT_20260720_115446.rpt"
"CLASS2_BTB_NO_TIMINGFIX_333M_EXPLORE","default","Explore","Explore","Explore","Explore","0","0","write_bitstream Complete!","333.333","3.000","-0.081","-0.375","0.063","0","33","1","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_EXPLORE/CLASS2_BTB_NO_TIMINGFIX_333M_EXPLORE_20260720_115446.bit","1E27C1F805106DE413FB1E924181110FB8BA88A2E564922065DCB508052A14B7","student_top_inst/Core_cpu/idex1_rd_reg[2]/C","student_top_inst/Core_cpu/if1_pc_q_reg[2]_replica_3/D","2.969","0.531","2.438","0","","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_EXPLORE/timing_summary_CLASS2_BTB_NO_TIMINGFIX_333M_EXPLORE_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_EXPLORE/timing_top20_CLASS2_BTB_NO_TIMINGFIX_333M_EXPLORE_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_EXPLORE/drc_CLASS2_BTB_NO_TIMINGFIX_333M_EXPLORE_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_EXPLORE/utilization_CLASS2_BTB_NO_TIMINGFIX_333M_EXPLORE_20260720_115446.rpt"
"CLASS2_BTB_NO_TIMINGFIX_333M_AGGRESSIVE_EXPLORE","default","Explore","Explore","AggressiveExplore","AggressiveExplore","0","0","write_bitstream Complete!","333.333","3.000","-0.082","-1.878","0.071","0","33","1","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_AGGRESSIVE_EXPLORE/CLASS2_BTB_NO_TIMINGFIX_333M_AGGRESSIVE_EXPLORE_20260720_115446.bit","3CF5C0126600B653D8E2B0D6081C1A9947AA2AB2651B6726533A64955D6F23B7","student_top_inst/Core_cpu/idex1_wb_sel_reg[0]/C","student_top_inst/Core_cpu/fetch_hold_instr_reg[3]/CE","2.781","0.531","2.250","0","","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_AGGRESSIVE_EXPLORE/timing_summary_CLASS2_BTB_NO_TIMINGFIX_333M_AGGRESSIVE_EXPLORE_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_AGGRESSIVE_EXPLORE/timing_top20_CLASS2_BTB_NO_TIMINGFIX_333M_AGGRESSIVE_EXPLORE_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_AGGRESSIVE_EXPLORE/drc_CLASS2_BTB_NO_TIMINGFIX_333M_AGGRESSIVE_EXPLORE_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_AGGRESSIVE_EXPLORE/utilization_CLASS2_BTB_NO_TIMINGFIX_333M_AGGRESSIVE_EXPLORE_20260720_115446.rpt"
"CLASS2_BTB_NO_TIMINGFIX_333M_POSTROUTE_PHYSOPT","default","Explore","ExtraTimingOpt","AggressiveExplore","NoTimingRelaxation","1","0","write_bitstream Complete!","333.333","3.000","-0.006","-0.006","0.058","0","35","1","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_POSTROUTE_PHYSOPT/CLASS2_BTB_NO_TIMINGFIX_333M_POSTROUTE_PHYSOPT_20260720_115446.bit","F7DE09E9527C54F9920E6EB139D92490544E51AA0BCE329B0FE48B11430ACEC1","student_top_inst/Core_cpu/ex1ex2_alu_op_reg[3]_rep_replica/C","student_top_inst/Core_cpu/ex2mem_alu_y_reg[19]/D","2.790","1.131","1.659","0","","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_POSTROUTE_PHYSOPT/timing_summary_CLASS2_BTB_NO_TIMINGFIX_333M_POSTROUTE_PHYSOPT_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_POSTROUTE_PHYSOPT/timing_top20_CLASS2_BTB_NO_TIMINGFIX_333M_POSTROUTE_PHYSOPT_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_POSTROUTE_PHYSOPT/drc_CLASS2_BTB_NO_TIMINGFIX_333M_POSTROUTE_PHYSOPT_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_POSTROUTE_PHYSOPT/utilization_CLASS2_BTB_NO_TIMINGFIX_333M_POSTROUTE_PHYSOPT_20260720_115446.rpt"
"CLASS2_BTB_NO_TIMINGFIX_333M_ALT_SPREAD_NOTIMING","default","Explore","SSI_SpreadLogic_high","AggressiveExplore","NoTimingRelaxation","0","0","write_bitstream Complete!","333.333","3.000","-0.039","-0.453","0.063","0","33","1","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_ALT_SPREAD_NOTIMING/CLASS2_BTB_NO_TIMINGFIX_333M_ALT_SPREAD_NOTIMING_20260720_115446.bit","52A2DD8C41237AE1DA70AEDC407A2638C9E03080EE1F0F0221E52C617A27A811","student_top_inst/Core_cpu/ex2mem_rd_reg[2]/C","student_top_inst/Core_cpu/fetch_hold_instr_reg[22]/CE","2.733","0.438","2.295","0","","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_ALT_SPREAD_NOTIMING/timing_summary_CLASS2_BTB_NO_TIMINGFIX_333M_ALT_SPREAD_NOTIMING_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_ALT_SPREAD_NOTIMING/timing_top20_CLASS2_BTB_NO_TIMINGFIX_333M_ALT_SPREAD_NOTIMING_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_ALT_SPREAD_NOTIMING/drc_CLASS2_BTB_NO_TIMINGFIX_333M_ALT_SPREAD_NOTIMING_20260720_115446.rpt","E:/Projects/1Aprojects/RV32Final/class2_btb_no_timingfix_333m_outputs/CLASS2_BTB_NO_TIMINGFIX_333M_ALT_SPREAD_NOTIMING/utilization_CLASS2_BTB_NO_TIMINGFIX_333M_ALT_SPREAD_NOTIMING_20260720_115446.rpt"
